date,aapl,sp500,vix,fed_rate,googl,msft
2025-02-11,231.6105499267578,6068.5,16.020000457763672,4.224999904632568,184.46717834472656,407.49700927734375
2025-02-12,235.84210205078125,6051.97021484375,15.890000343322754,4.228000164031982,182.76504516601562,405.1200256347656
2025-02-13,240.48187255859375,6115.06982421875,15.100000381469727,4.2129998207092285,185.28341674804688,406.6056213378906
2025-02-14,243.53855895996094,6114.6298828125,14.770000457763672,4.2129998207092285,184.3776092529297,404.515869140625
2025-02-18,243.40911865234375,6129.580078125,15.350000381469727,4.2129998207092285,182.92431640625,405.7142639160156
2025-02-19,243.80738830566406,6144.14990234375,15.270000457763672,4.2179999351501465,184.41741943359375,410.7950744628906
2025-02-20,244.7632293701172,6117.52001953125,15.65999984741211,4.204999923706055,183.71067810058594,412.968505859375
2025-02-21,244.48443603515625,6013.1298828125,18.209999084472656,4.197000026702881,178.83323669433594,405.1086120605469
2025-02-24,246.0277099609375,5983.25,18.979999542236328,4.190000057220459,178.42510986328125,400.9306335449219
2025-02-25,245.9679718017578,5955.25,19.43000030517578,4.182000160217285,174.6127471923828,394.876953125
2025-02-26,239.3169403076172,5956.06005859375,19.100000381469727,4.192999839782715,171.93511962890625,396.69305419921875
2025-02-27,236.27024841308594,5861.56982421875,21.1299991607666,4.195000171661377,167.72459411621094,389.5477600097656
2025-02-28,240.79052734375,5954.5,19.6299991607666,4.192999839782715,169.4963836669922,393.973876953125
2025-03-03,236.9970703125,5849.72021484375,22.780000686645508,4.192999839782715,166.241455078125,385.5384521484375
2025-03-04,234.9061737060547,5778.14990234375,23.510000228881836,4.195000171661377,170.13343811035156,385.65753173828125
2025-03-05,234.7169952392578,5842.6298828125,21.93000030517578,4.204999923706055,172.22378540039062,397.9732666015625
2025-03-06,234.30877685546875,5738.52001953125,24.8700008392334,4.197000026702881,171.55686950683594,393.8746643066406
2025-03-07,238.03256225585938,5770.2001953125,23.3700008392334,4.197000026702881,173.05992126464844,390.32183837890625
2025-03-10,226.49285888671875,5614.56005859375,27.860000610351562,4.184999942779541,165.2968292236328,377.2717590332031
2025-03-11,219.8816680908203,5572.06982421875,26.920000076293945,4.195000171661377,163.47314453125,377.5595397949219
2025-03-12,216.0384063720703,5599.2998046875,24.229999542236328,4.197000026702881,166.53256225585938,380.35809326171875
2025-03-13,208.7700958251953,5521.52001953125,24.65999984741211,4.188000202178955,162.19760131835938,375.89227294921875
2025-03-14,212.56358337402344,5638.93994140625,21.770000457763672,4.188000202178955,164.9181671142578,385.6079406738281
2025-03-17,213.07135009765625,5675.1201171875,20.510000228881836,4.188000202178955,163.72230529785156,385.7468566894531
2025-03-18,211.7670135498047,5614.66015625,21.700000762939453,4.195000171661377,160.11480712890625,380.6062316894531
2025-03-19,214.3059539794922,5675.2900390625,19.899999618530273,4.190000057220459,163.32366943359375,384.8735656738281
2025-03-20,213.17091369628906,5662.89013671875,19.799999237060547,4.182000160217285,162.23745727539062,383.9010009765625
2025-03-21,217.3227996826172,5667.56005859375,19.280000686645508,4.184999942779541,163.42333984375,388.28741455078125
2025-03-24,219.7721405029297,5767.56982421875,17.479999542236328,4.182000160217285,167.1005859375,390.0935974121094
2025-03-25,222.77903747558594,5776.64990234375,17.149999618530273,4.182000160217285,169.97064208984375,392.1578063964844
2025-03-26,220.56866455078125,5712.2001953125,18.329999923706055,4.190000057220459,164.4896240234375,387.0072326660156
2025-03-27,222.87860107421875,5693.31005859375,18.690000534057617,4.188000202178955,161.6793975830078,387.61260986328125
2025-03-28,216.9544219970703,5580.93994140625,21.649999618530273,4.188000202178955,153.7967071533203,375.92205810546875
2025-03-31,221.1660614013672,5611.85009765625,22.280000686645508,4.192999839782715,154.10565185546875,372.5379943847656
2025-04-01,222.22146606445312,5633.06982421875,21.770000457763672,4.199999809265137,156.52725219726562,379.2863464355469
2025-04-02,222.91842651367188,5670.97021484375,21.510000228881836,4.203000068664551,156.49734497070312,379.2367248535156
2025-04-03,202.30825805664062,5396.52001953125,30.020000457763672,4.184999942779541,150.19918823242188,370.27532958984375
2025-04-04,187.56253051757812,5074.080078125,45.310001373291016,4.15500020980835,145.0968780517578,357.1061706542969
2025-04-07,180.6725616455078,5062.25,46.97999954223633,4.150000095367432,146.24290466308594,355.14117431640625
2025-04-08,171.67178344726562,4982.77001953125,52.33000183105469,4.177999973297119,144.19998168945312,351.8662414550781
2025-04-09,197.98709106445312,5456.89990234375,33.619998931884766,4.228000164031982,158.16159057617188,387.52325439453125
2025-04-10,189.5936737060547,5268.0498046875,40.720001220703125,4.197000026702881,152.2919464111328,378.45269775390625
2025-04-11,197.2901153564453,5363.35986328125,37.560001373291016,4.2129998207092285,156.59701538085938,385.4988098144531
